x,y,u,v,p
0.0,0.0,0.0,0.0,-0.013278000571761506
0.010101010101010102,0.0,0.0,0.0,-0.013278000571761506
0.020202020202020204,0.0,0.0,0.0,-0.013291944217774968
0.030303030303030304,0.0,0.0,0.0,-0.013342233742871737
0.04040404040404041,0.0,0.0,0.0,-0.01342257245073192
0.05050505050505051,0.0,0.0,0.0,-0.013528823287502998
0.06060606060606061,0.0,0.0,0.0,-0.013655257126587115
0.07070707070707072,0.0,0.0,0.0,-0.013796372711593683
0.08080808080808081,0.0,0.0,0.0,-0.013947096526784303
0.09090909090909091,0.0,0.0,0.0,-0.01410295221988956
0.10101010101010102,0.0,0.0,0.0,-0.014260078160791775
0.11111111111111112,0.0,0.0,0.0,-0.01441519500649092
0.12121212121212122,0.0,0.0,0.0,-0.014565550240191039
0.13131313131313133,0.0,0.0,0.0,-0.014708855969996536
0.14141414141414144,0.0,0.0,0.0,-0.014843227529918892
0.15151515151515152,0.0,0.0,0.0,-0.014967126119098768
0.16161616161616163,0.0,0.0,0.0,-0.015079306757447359
0.17171717171717174,0.0,0.0,0.0,-0.015178771851923156
0.18181818181818182,0.0,0.0,0.0,-0.015264730246386096
0.19191919191919193,0.0,0.0,0.0,-0.01533656144882273
0.20202020202020204,0.0,0.0,0.0,-0.0153937846712772
0.21212121212121213,0.0,0.0,0.0,-0.015436032310408148
0.22222222222222224,0.0,0.0,0.0,-0.015463027510190998
0.23232323232323235,0.0,0.0,0.0,-0.015474565468264081
0.24242424242424243,0.0,0.0,0.0,-0.015470498167806357
0.25252525252525254,0.0,0.0,0.0,-0.015450722235225147
0.26262626262626265,0.0,0.0,0.0,-0.015415169639865426
0.27272727272727276,0.0,0.0,0.0,-0.015363800965482953
0.2828282828282829,0.0,0.0,0.0,-0.015296600994868372
0.29292929292929293,0.0,0.0,0.0,-0.015213576359100324
0.30303030303030304,0.0,0.0,0.0,-0.015114755011950618
0.31313131313131315,0.0,0.0,0.0,-0.015000187298156784
0.32323232323232326,0.0,0.0,0.0,-0.014869948391973972
0.33333333333333337,0.0,0.0,0.0,-0.01472414188965594
0.3434343434343435,0.0,0.0,0.0,-0.014562904346537078
0.3535353535353536,0.0,0.0,0.0,-0.014386410556131496
0.36363636363636365,0.0,0.0,0.0,-0.014194879375322432
0.37373737373737376,0.0,0.0,0.0,-0.013988579906184262
0.38383838383838387,0.0,0.0,0.0,-0.013767837851451683
0.393939393939394,0.0,0.0,0.0,-0.013533041867032981
0.4040404040404041,0.0,0.0,0.0,-0.013284649741485799
0.4141414141414142,0.0,0.0,0.0,-0.013023194238976505
0.42424242424242425,0.0,0.0,0.0,-0.012749288449213431
0.43434343434343436,0.0,0.0,0.0,-0.012463630495165273
0.4444444444444445,0.0,0.0,0.0,-0.012167007457387378
0.4545454545454546,0.0,0.0,0.0,-0.011860298382497771
0.4646464646464647,0.0,0.0,0.0,-0.01154447625314069
0.4747474747474748,0.0,0.0,0.0,-0.011220608807668597
0.48484848484848486,0.0,0.0,0.0,-0.010889858110125671
0.494949494949495,0.0,0.0,0.0,-0.01055347878490887
0.5050505050505051,0.0,0.0,0.0,-0.010212814846023592
0.5151515151515152,0.0,0.0,0.0,-0.009869295068036592
0.5252525252525253,0.0,0.0,0.0,-0.009524426864864283
0.5353535353535354,0.0,0.0,0.0,-0.00917978866318639
0.5454545454545455,0.0,0.0,0.0,-0.008837020779607708
0.5555555555555556,0.0,0.0,0.0,-0.00849781483430853
0.5656565656565657,0.0,0.0,0.0,-0.008163901758728056
0.5757575757575758,0.0,0.0,0.0,-0.007837038480245528
0.5858585858585859,0.0,0.0,0.0,-0.007518993392596566
0.595959595959596,0.0,0.0,0.0,-0.007211530746160817
0.6060606060606061,0.0,0.0,0.0,-0.006916394116878477
0.6161616161616162,0.0,0.0,0.0,-0.006635289135556547
0.6262626262626263,0.0,0.0,0.0,-0.006369865680224652
0.6363636363636365,0.0,0.0,0.0,-0.006121699752108014
0.6464646464646465,0.0,0.0,0.0,-0.005892275270211035
0.6565656565656566,0.0,0.0,0.0,-0.005682966029604578
0.6666666666666667,0.0,0.0,0.0,-0.005495018073880608
0.6767676767676768,0.0,0.0,0.0,-0.005329532732173829
0.686868686868687,0.0,0.0,0.0,-0.005187450565430026
0.696969696969697,0.0,0.0,0.0,-0.005069536454748158
0.7070707070707072,0.0,0.0,0.0,-0.00497636604667705
0.7171717171717172,0.0,0.0,0.0,-0.004908313746129319
0.7272727272727273,0.0,0.0,0.0,-0.004865542417437186
0.7373737373737375,0.0,0.0,0.0,-0.004847994918176642
0.7474747474747475,0.0,0.0,0.0,-0.004855387549415965
0.7575757575757577,0.0,0.0,0.0,-0.004887205460513828
0.7676767676767677,0.0,0.0,0.0,-0.0049426999975368206
0.7777777777777778,0.0,0.0,0.0,-0.005020887932678819
0.787878787878788,0.0,0.0,0.0,-0.005120552459200474
0.797979797979798,0.0,0.0,0.0,-0.005240245783808491
0.8080808080808082,0.0,0.0,0.0,-0.005378293098284112
0.8181818181818182,0.0,0.0,0.0,-0.0055327976672245646
0.8282828282828284,0.0,0.0,0.0,-0.005701646733252252
0.8383838383838385,0.0,0.0,0.0,-0.005882517921251816
0.8484848484848485,0.0,0.0,0.0,-0.006072885829738972
0.8585858585858587,0.0,0.0,0.0,-0.006270028548145972
0.8686868686868687,0.0,0.0,0.0,-0.006471033964676907
0.8787878787878789,0.0,0.0,0.0,-0.006672805987252968
0.888888888888889,0.0,0.0,0.0,-0.006872071283444464
0.8989898989898991,0.0,0.0,0.0,-0.007065388065223615
